Date,Period,Volume,total,price
6/08/2015,Day-ahead Baseload,10,240,36.75
15/08/2013,Day-ahead Baseload,2,48,35
15/06/2016,July '16 Baseload,15,11160,30.4
10/12/2014,Day-ahead Baseload,25,600,38
12/01/2015,Day-ahead Baseload,10,240,33.5
8/04/2016,May '16 Baseload,5,3720,24.9
15/04/2014,Day-ahead Baseload,5,120,39.25
6/10/2015,November '15 Baseload,25,18000,36.3
8/01/2015,Week 3 '15 Baseload,2,336,32
24/04/2014,Day-ahead Baseload,10,240,35
27/03/2015,Day-ahead Baseload,25,600,20
8/11/2013,December '13 Baseload,10,7440,38
19/02/2015,March '15 Baseload,10,7430,33.25
2/09/2014,Week 37 '14 Baseload,28,4704,33.15
1/12/2014,Day-ahead Baseload,5,120,52.75
8/10/2013,November '13 Baseload,5,3600,44
5/02/2014,Day-ahead Extended-Peaks,5,80,38.1
11/03/2014,Year 2016 Peaks,10,31320,45.8
22/09/2014,October '14 Baseload,5,3725,35.75
7/11/2014,Saturday Baseload,10,240,29.75
11/12/2013,January '14 Baseload,10,7440,40.15
23/12/2015,May '16 Baseload,50,37200,29.75
18/10/2013,Day-ahead Baseload,5,120,42
6/08/2014,Day-ahead Peaks,5,60,35.7
7/08/2013,Day-ahead Baseload,10,240,48.5
25/10/2013,Year 2014 Baseload,5,43800,37.1
17/12/2014,Day-ahead Baseload,10,240,39
17/12/2014,Friday Baseload,50,1200,37
6/10/2014,November '14 Baseload,10,7200,37.05
3/01/2014,Week 2 '14 Baseload,10,1680,34.75
7/09/2015,Day-ahead Baseload,50,1200,41.5
19/11/2015,Day-ahead Baseload,10,240,40.75
27/11/2014,Day-ahead Baseload,20,480,35.5
13/02/2015,Q2 '15 Baseload,5,10920,34.35
8/01/2015,Q4 '15 Baseload,25,55225,36.5
24/04/2014,Year 2016 Baseload,25,219600,34
26/01/2015,Week 6 '15 Baseload,5,840,37.5
23/12/2015,Year 2018 Baseload,10,87600,28.3
2/04/2014,Day-ahead Baseload,5,120,39.25
27/08/2015,September '15 Baseload,25,18000,33.4
16/10/2013,Day-ahead Baseload,5,120,34.9
8/07/2015,Day-ahead Baseload,20,480,41.75
10/12/2015,Week 52 '15 Baseload,15,2520,24
17/12/2014,Day-ahead Baseload,20,480,38
12/10/2015,Day-ahead Baseload,10,240,51.75
6/10/2015,November '15 Baseload,10,7200,36.3
12/02/2016,Q3 '16 Baseload,20,44160,27.1
12/09/2014,Q4 '14 Baseload,10,22090,36.7
9/02/2016,Q2 '16 Baseload,25,54600,27.5
1/08/2016,September '16 Baseload,5,3600,33.1
18/11/2014,Day-ahead Baseload,10,240,48
11/07/2014,Weekend Baseload,25,1200,26.75
2/06/2015,Day-ahead Baseload,20,480,27
7/06/2016,Year 2019 Baseload,30,262800,29.1
27/03/2014,Weekend Baseload,10,470,25
31/07/2015,August '15 Baseload,5,3720,32
8/01/2014,February '14 Baseload,10,6720,41.8
30/05/2014,Weekend Baseload,5,240,26.5
26/02/2015,Day-ahead Baseload,10,240,39.25
23/10/2014,November '14 Baseload,5,3600,35.1
29/10/2013,Day-ahead Baseload,10,240,41
25/03/2014,Day-ahead Baseload,5,120,35.75
11/05/2015,June '15 Baseload,5,3600,30.6
7/08/2013,Day-ahead Baseload,3,72,49.7
13/10/2015,November '15 Baseload,10,7200,36.65
21/11/2014,Weekend Baseload,10,480,29.2
20/01/2016,February '16 Baseload,5,3480,33.75
20/02/2015,Weekend Baseload,5,240,27.5
7/10/2013,Day-ahead Baseload,10,240,55
22/12/2015,Week 1 '16 Baseload,25,4200,33
17/12/2013,Thursday Baseload,25,600,40
29/01/2016,February '16 Baseload,10,6960,32.6
20/04/2015,Q3 '15 Baseload,10,22080,32.8
11/09/2015,Week 38 '15 Baseload,5,840,33.5
10/06/2015,Q3 '15 Baseload,35,77280,30.5
17/10/2013,Day-ahead Baseload,5,120,42.5
16/08/2013,Weekend Baseload,10,480,28.5
12/02/2016,Weekend Baseload,10,480,20.5
6/08/2013,Day-ahead Baseload,5,120,45.75
13/07/2015,Day-ahead Baseload,15,360,45.75
28/07/2015,Day-ahead Baseload,10,240,28.85
10/09/2014,Week 39 '14 Baseload,10,1680,34.75
4/05/2016,Day-ahead Baseload,10,240,24
9/09/2013,Week 38 '13 Baseload,25,4200,38.55
14/05/2014,Day-ahead Baseload,5,120,38.2
12/09/2016,Day-ahead Baseload,5,120,34.85
4/09/2015,Weekend Baseload,5,240,21
28/01/2015,Day-ahead Baseload,25,600,33.25
23/09/2015,Week 40 '15 Baseload,10,1680,37.75
6/11/2014,Year 2015 Baseload,10,87600,35.35
2/12/2015,January '16 Baseload,10,7440,33
16/03/2016,April '16 Baseload,10,7200,25.3
14/11/2013,Day-ahead Baseload,10,240,50.25
1/12/2014,Day-ahead Baseload,10,240,51.75
12/02/2016,Weekend Baseload,25,1200,21
24/04/2015,Week 18 '15 Baseload,25,4200,27
14/10/2015,Day-ahead Baseload,10,240,49
22/11/2013,Year 2014 Baseload,20,175200,36.95
9/04/2015,Day-ahead Baseload,10,240,37.5
18/06/2015,Day-ahead Baseload,5,120,31.7
15/12/2015,Thursday Baseload,5,120,38.25
3/02/2014,Day-ahead Baseload,5,120,44.05
21/10/2014,Week 44 '14 Baseload,25,4200,34.5
9/10/2014,November '14 Baseload,5,3600,36.55
13/01/2015,February '15 Baseload,35,23520,37.85
16/12/2013,Year 2014 Baseload,2,17520,37.2
29/07/2014,August '14 Baseload,20,14880,33.35
14/02/2014,Q2 '14 Baseload,25,54600,31.85
15/04/2014,May '14 Baseload,10,7440,31.6
31/07/2015,Day-ahead Baseload,15,360,36
15/10/2015,Day-ahead Baseload,10,240,48.6
13/03/2014,Day-ahead Peaks,5,60,36.5
9/09/2015,Day-ahead Baseload,20,480,33.75
11/08/2014,Week 34 '14 Baseload,10,1680,29.5
24/02/2014,March '14 Baseload,10,7430,32.6
5/03/2014,Day-ahead Extended-Peaks,10,160,45
25/04/2014,Day-ahead Baseload,25,600,40.75
19/05/2014,Day-ahead Baseload,5,120,39
17/10/2014,Sunday Baseload,5,120,19
10/12/2015,Day-ahead Baseload,10,240,33
13/07/2015,August '15 Baseload,10,7440,32
10/11/2015,December '15 Baseload,25,18600,33.25
25/10/2013,Day-ahead Baseload,25,600,22.75
18/08/2015,Day-ahead Baseload,5,120,41
5/01/2016,Day-ahead Baseload,10,240,35.75
18/11/2015,Day-ahead Baseload,10,240,36
10/07/2014,August '14 Baseload,10,7440,33.3
10/09/2015,Day-ahead Baseload,10,240,32.25
24/07/2015,August '15 Baseload,5,3720,32.8
13/09/2016,Week 38 '16 Baseload,10,1680,32.25
18/12/2014,Day-ahead Baseload,10,240,36
2/01/2015,Day-ahead Baseload,10,240,40.5
7/07/2014,Day-ahead Baseload,5,120,35.35
