Date,Period,Volume,total,price
23/02/2015,Day-ahead Baseload,5,120,33.5
17/02/2014,Day-ahead Baseload,5,120,40.7
2/04/2015,Week 15 '15 Baseload,5,840,33.75
6/06/2016,Q3 '16 Baseload,5,11040,31.15
18/01/2016,Day-ahead Baseload,5,120,42.5
11/12/2014,Day-ahead Baseload,10,240,36.8
22/12/2014,Weekend Baseload,20,960,21.75
8/08/2013,Day-ahead Baseload,5,120,51
1/08/2013,Weekend Baseload,10,480,29.5
2/06/2014,Day-ahead Baseload,5,120,39
16/11/2015,December '15 Baseload,10,7440,34.75
6/06/2016,Q3 '16 Baseload,5,11040,31.25
16/08/2016,September '16 Baseload,10,7200,30.6
8/08/2013,Day-ahead Baseload,10,240,50.75
16/08/2013,Day-ahead Baseload,10,240,44.7
28/11/2013,Year 2014 Baseload,5,43800,36.8
24/04/2014,Year 2016 Baseload,25,219600,34
26/02/2015,April '15 Baseload,10,7200,34.25
11/04/2014,May '14 Baseload,25,18600,31.15
11/12/2014,Day-ahead Baseload,10,240,36.75
23/12/2014,Weekend Baseload,10,480,26.5
12/11/2013,Day-ahead Baseload,10,240,49.75
17/10/2014,Sunday Baseload,10,240,16.5
2/04/2014,Year 2017 Baseload,10,87600,32.55
22/10/2015,Weekend Baseload,10,490,27.5
14/05/2014,June '14 Baseload,15,10800,31.35
9/09/2016,Year 2017 Baseload,5,43800,27.3
8/11/2013,December '13 Baseload,10,7440,38.1
18/12/2013,Friday Baseload,20,480,37
25/04/2014,Day-ahead Baseload,10,240,40.5
26/06/2015,July '15 Baseload,5,3720,34
2/11/2015,Day-ahead Baseload,5,120,43.5
18/11/2015,Day-ahead Baseload,10,240,35.5
17/09/2014,Year 2015 Baseload,10,87600,35.25
28/05/2015,Q3 '15 Baseload,5,11040,30.75
10/12/2014,Day-ahead Baseload,25,600,38
22/06/2015,Day-ahead Baseload,10,240,33.5
23/12/2013,26/12/2013 Baseload,15,360,2
19/06/2015,Q3 '15 Baseload,5,11040,31.45
8/07/2015,August '15 Baseload,20,14880,30.85
15/01/2016,Weekend Baseload,20,960,31
31/05/2016,June '16 Baseload,200,144000,28.45
19/08/2013,Day-ahead Baseload,10,240,46.25
16/03/2015,Week 13 '15 Baseload,10,1670,33
15/10/2013,November '13 Baseload,2,1440,42
6/10/2015,November '15 Baseload,25,18000,36.3
30/04/2015,Weekend Baseload,10,480,22.25
14/06/2016,July '16 Baseload,3,2232,30.5
29/07/2014,Year 2015 Baseload,5,43800,36.6
30/03/2016,April '16 Baseload,5,3600,26.15
8/01/2015,Day-ahead Baseload,30,720,34.75
20/02/2015,March '15 Baseload,10,7430,33.4
10/04/2015,Q3 '15 Baseload,5,11040,33.85
17/02/2015,Weekend Baseload,25,1200,27.5
15/06/2015,Day-ahead Baseload,5,120,36.25
30/10/2014,December '14 Baseload,50,37200,34.8
3/09/2015,Day-ahead Extended-Peaks,10,160,47
12/10/2015,Day-ahead Baseload,20,480,52
7/07/2014,Year 2015 Baseload,5,43800,34.85
27/02/2015,Sunday Baseload,5,120,14
15/12/2014,Year 2017 Baseload,10,87600,33.7
2/01/2015,Weekend Baseload,5,240,18.5
